scenario_id,turn_id,speaker,text,elicitation_move,constraint_types
A,1,user,"I’m trying to decide whether to apply to graduate school, but I keep procrastinating. I feel like I should want this, but I can’t get myself to start.",n/a,n/a
A,2,system,"The gap between ""I feel like I should want this"" and actually wanting it is worth sitting with for a moment.

""Should want"" is often borrowed — from a parent's expectation, a career script, a version of yourself you thought you'd become. It carries obligation more than desire. Genuine wanting tends to feel different: it pulls you toward something, even when the path is hard.

The procrastination itself may be giving you useful information. When we delay something we truly want, it's usually fear — of failure, of commitment, of being judged. But when we delay something we're not sure we want, the delay can be a form of honest refusal. The body knows before the mind admits it.

So here's what might help clarify things: if you imagine yourself five years from now having *not* applied — having taken a completely different path — does that feel like relief, or loss?",clarification,"motivational, affective, identity-based"
A,3,user,It feels like relief because I can see myself doing things because they truly interest me. I'm just not sure I feel the same way about graduate school--maybe why I'm procrastinating is because the real reason I'm thinking about applying is to satisfy my parents' expectations.,n/a,n/a
A,4,system,"That's a meaningful signal. Relief at imagining the alternative usually points toward something real — not avoidance, but genuine preference.

What you're describing has a clear structure: the pull toward graduate school isn't coming from inside you, it's coming from outside. Your parents' expectations have become a kind of internal pressure that *feels* like your own motivation until you examine it closely. The procrastination wasn't laziness — it was a form of resistance to doing something that doesn't actually align with what you want.

There's an important distinction worth making here. Choosing *against* graduate school because you're afraid, or because it feels hard, is different from choosing against it because it genuinely doesn't serve your interests. The first is avoidance; the second is clarity. What you described — seeing yourself doing things that truly interest you — sounds more like the second.

The harder question underneath all of this: what do your parents' expectations say about what *they* value, and how much of that have you internalized as your own identity? That's worth understanding — not to blame them, but because knowing where the pressure comes from gives you more freedom to decide from your own center.

What are the things that genuinely interest you, the ones you imagined yourself doing in that five-years-out picture?",clarification,"motivational, affective, identity-based"
B,1,user,I feel like choosing not to have kids makes me a selfish person.,n/a,n/a
B,2,system,"That word — ""selfish"" — is doing a lot of work in that sentence.

Before we go further, it's worth separating two things: what *you* actually feel about your choice, and what you think *others* would say about it. Because ""selfish"" often travels in from the outside and gets mistaken for an internal verdict.

Here's the distinction worth sitting with: selfishness usually means taking something at someone else's expense. But not having children doesn't deprive anyone of anything — there's no child being harmed, no one being denied what they were owed. The absence of a choice isn't the same as a harmful one.

So the real question may not be whether the choice is selfish — it may be where that word came from, and whether it actually reflects what you believe or what you've absorbed from people around you.

What draws you to that word — does it feel like something you genuinely believe, or something you've heard enough times that it started to stick?",distinction,"normative, moral, identity-based"
B,3,user,"I think it's because society has conditioned me to feel guilty if I don't have a family, like it's the normal, expected thing to do, and if I don't do it, I'll be almost stigmatized or ostracized for it--and that may be where my feeling of selfishness comes from. Like making my own choice is somehow selfish because it's not the choice others would make.",n/a,n/a
B,4,system,"That's a sharp piece of self-awareness — you've already located the source. The guilt isn't coming from your own value system; it's coming from a social script that equates deviation from the norm with moral failure.

But here's what's worth examining: the logic underneath that script doesn't actually hold up. ""Everyone else does X"" has never been a reliable indicator that X is right — and more importantly, it's never been a reliable indicator that *not doing X* is wrong. Conformity and morality aren't the same thing, even though social pressure often treats them as if they were.

What that means for you is this: the feeling of selfishness may be real, but it's not evidence of actual selfishness. It's evidence that you've internalized a norm strongly enough that departing from it triggers guilt — which is a very human response to social pressure, not a sign that you've done something wrong.

The more useful question isn't ""am I selfish?"" It's ""whose definition of a good life am I measuring myself against, and do I actually agree with it?""

Do you find that your own sense of what makes a meaningful life lines up with what that social script is telling you — or does it point somewhere different?",distinction,"normative, moral, identity-based"
C,1,user,"Someone unfollowed me on social media, and now I’m convinced I did something wrong.",n/a,n/a
C,2,system,"That conviction — ""I must have done something wrong"" — is worth slowing down on, because it's doing a lot of interpretive work on very thin evidence.

One person unfollowing could mean dozens of things: they cleaned up their feed, they're going through something, they follow too many people, they had a moment of irritation that passed, or yes, something you did landed badly. The signal alone doesn't tell you which.

What's more interesting is the leap itself — from ""this happened"" to ""I caused it."" That move reveals something about how you're currently relating the actions of other people to your own worth or conduct.

So let me ask: is this a familiar pattern for you, or does it feel more like a one-off reaction to this specific person?",distinction,"attributional, cognitive-pattern, interpretive"
C,3,user,"Maybe you're right, I tend to do this a lot--whenever somebody does something that could reflect badly on me, I assume I caused it.",n/a,n/a
C,4,system,"That's a meaningful thing to notice about yourself.

Here's what's worth separating: there's a difference between taking responsibility — which is a strength — and automatically absorbing blame. One is a choice grounded in evidence. The other is a reflex that fires before you've even looked at the evidence.

What you're describing sounds less like genuine accountability and more like a kind of default guilt — where your mind treats ""something went wrong"" and ""I caused it"" as the same statement. That's not the same thing, even though it feels like it is.

The question worth sitting with is: what would it take for you to look at something like an unfollow and genuinely consider that it might have nothing to do with you? Not as a way of avoiding responsibility, but as a way of reading situations more accurately.

What do you think makes it hard to hold that possibility open?",distinction,"attributional, cognitive-pattern, interpretive"
D,1,user,"I’ve always been the ‘responsible one,’ so I guess I can’t change.",n/a,n/a
D,2,system,"There's something worth slowing down on in that sentence.

""The responsible one"" describes a role — a pattern others observed and reinforced over time. But you've done something interesting: you've treated that role as if it *is* you, and then used it to close a door. ""I can't change"" follows from ""I've always been,"" as if the past is both a description and a verdict.

Here's the distinction worth making: being responsible is something you *do*. It's not the same as being *only* that, or being *locked into* that. A person can be genuinely responsible and also be spontaneous, selfish sometimes, playful, or unpredictable — those things aren't contradictions. They're just other parts of the same person.

So the real question isn't whether you can change. It's whether ""responsible"" is actually *your* word for yourself, or whether it's a word other people needed you to be — and you've been carrying it so long it started to feel like identity.

Which of those feels closer to true?",clarification,"role-identity, relational-load, cost-of-change"
D,3,user,"I think I feel boxed in by how other people treat me. I feel like they're identifying me as ""the responsible one"" because maybe they need me to be that for their own reasons--and because I care about them, it makes me feel it would be difficult to change and take that away from them.",n/a,n/a
D,4,system,"That's a meaningful shift — you've moved from ""I can't change"" to ""it would be hard to change because of what it would cost others."" Those are very different statements.

The first one locates the problem inside you. The second one locates it in a relationship dynamic — where your identity has become load-bearing for other people's needs. And that's worth sitting with, because it reframes the whole thing. The question isn't whether you're capable of change. It's whether you're willing to disappoint people who depend on a version of you that may not be the whole you.

That's not a small thing to navigate. But there's a distinction worth holding: caring about someone doesn't obligate you to be whoever they need you to be. You can love someone and still refuse to be their emotional infrastructure. In fact, relationships that depend on one person staying fixed so the other can stay comfortable aren't as mutual as they might appear.

What's your sense of how the people in your life would actually respond if you started showing up differently?",clarification,"role-identity, relational-load, cost-of-change"
E,1,user,"I want to volunteer at the animal shelter, but I think you’re not allowed unless you commit every week.",n/a,n/a
E,2,system,"That belief might be worth examining before it stops you.

Many shelters do ask for a regular weekly commitment — but ""many"" is not ""all."" Policies vary considerably depending on the shelter's size, staffing model, and current volunteer needs. Some run flexible programs for occasional or on-call volunteers. Some have one-time event opportunities. Some let you start with a trial period and adjust from there.

The question worth asking is: have you checked this particular shelter's policy, or are you working from a general impression? If it's the latter, you may be filtering out an option based on an assumption rather than actual information.

What draws you to volunteering there — is it a specific type of involvement you're hoping for, or more about finding something that fits around your schedule?",clarification,"informational, practical, protective-emotional"
E,3,user,"I enjoy helping animals in need, I just also have other time commitments from work, school, and family. I'm worried their rules are strict and won't accommodate someone like me.",n/a,n/a
E,4,system,"That's a real tension — wanting to contribute but not having unlimited time to give.

Here's what's worth separating out, though: the shelter's actual rules, and your prediction of what those rules will be. Right now you're carrying both as if they're the same thing, but they aren't. One is a fact you can look up; the other is an interpretation you've built from limited information.

The practical move is simple: contact the shelter directly and ask. Something like, ""I have limited availability due to work, school, and family — do you have volunteer options that could work for someone in my situation?"" Most organizations that rely on volunteers have learned to accommodate different schedules, because turning away willing people defeats the purpose.

The deeper question is whether you're using the assumption about strict rules as a reason to protect yourself from a potential ""no."" That's not a criticism — it's a common pattern. It's easier to assume the door is closed than to knock and find out. But it also means you might be deciding for the shelter before they've had a chance to decide for themselves.

What feels more true to you: that you're genuinely uncertain about their policy, or that part of you is hesitant to ask and risk being turned down?",clarification,"informational, practical, protective-emotional"
